property_type,capacity,T,N,replication,state_space_size,saa_time,saa_revenue,dp_time,dp_revenue
boutique,50,28,7,0,781250000000,292.20151376724243,6378.111999898083,,
boutique,50,28,7,1,781250000000,301.4894998073578,6349.471107807019,,
boutique,50,28,7,2,781250000000,150.9407262802124,6473.376348775338,,
boutique,50,28,7,3,781250000000,302.9507985115051,6542.021440993817,,
boutique,50,28,7,4,781250000000,295.50244975090027,6288.0903153583295,,
boutique,50,28,14,0,610351562500000000000000,417.7896430492401,7656.455558193422,,
boutique,50,28,14,1,610351562500000000000000,211.82663202285767,7809.949441403883,,
boutique,50,28,14,2,610351562500000000000000,215.076247215271,7542.637284929051,,
boutique,50,28,14,3,610351562500000000000000,214.35041046142578,7748.047246517462,,
boutique,50,28,14,4,610351562500000000000000,445.3503797054291,7525.334768586767,,
boutique,50,28,28,0,372529029846191406250000000000000000000000000000,279.1945779323578,7839.345025037544,,
boutique,50,28,28,1,372529029846191406250000000000000000000000000000,566.1160938739777,7900.236393629396,,
boutique,50,28,28,2,372529029846191406250000000000000000000000000000,545.534420967102,7725.495906826784,,
boutique,50,28,28,3,372529029846191406250000000000000000000000000000,559.0327653884888,7956.97569469558,,
boutique,50,28,28,4,372529029846191406250000000000000000000000000000,273.7355306148529,7866.886048530601,,
boutique,50,56,7,0,781250000000,368.77890396118164,7719.095528541384,,
boutique,50,56,7,1,781250000000,358.3948712348938,7454.1613953248725,,
boutique,50,56,7,2,781250000000,182.32599592208862,7690.021508310647,,
boutique,50,56,7,3,781250000000,370.7013096809387,7780.437488900623,,
boutique,50,56,7,4,781250000000,372.22940373420715,7557.511508591715,,
boutique,50,56,14,0,610351562500000000000000,617.0511813163757,10782.549085818526,,
boutique,50,56,14,1,610351562500000000000000,601.7076497077942,10649.061215109745,,
boutique,50,56,14,2,610351562500000000000000,602.4612238407135,10482.424938661168,,
boutique,50,56,14,3,610351562500000000000000,607.9384317398071,10655.971833673813,,
boutique,50,56,14,4,610351562500000000000000,597.5323386192322,10824.082027904402,,
boutique,50,56,28,0,372529029846191406250000000000000000000000000000,824.1094467639923,11549.288919008392,,
boutique,50,56,28,1,372529029846191406250000000000000000000000000000,811.7266888618469,11713.706949418432,,
boutique,50,56,28,2,372529029846191406250000000000000000000000000000,412.4511013031006,11813.594357357584,,
boutique,50,56,28,3,372529029846191406250000000000000000000000000000,836.6528930664062,11554.928895308689,,
boutique,50,56,28,4,372529029846191406250000000000000000000000000000,413.7096402645111,11726.353876836663,,
boutique,50,84,7,0,781250000000,192.7873170375824,7805.80070090265,,
boutique,50,84,7,1,781250000000,189.35803627967834,7945.255895093623,,
boutique,50,84,7,2,781250000000,377.73086738586426,7789.077475888745,,
boutique,50,84,7,3,781250000000,372.93420362472534,7945.655559658444,,
boutique,50,84,7,4,781250000000,384.40329003334045,7679.057143137331,,
boutique,50,84,14,0,610351562500000000000000,313.61401987075806,10779.885793883097,,
boutique,50,84,14,1,610351562500000000000000,632.710798740387,10755.017396787644,,
boutique,50,84,14,2,610351562500000000000000,615.8597061634064,10709.502161109149,,
boutique,50,84,14,3,610351562500000000000000,309.4345407485962,10544.68454298197,,
boutique,50,84,14,4,610351562500000000000000,623.5156998634338,10762.878202357311,,
boutique,50,84,28,0,372529029846191406250000000000000000000000000000,445.41200065612793,12211.917215808073,,
boutique,50,84,28,1,372529029846191406250000000000000000000000000000,436.117210149765,12323.438246672826,,
boutique,50,84,28,2,372529029846191406250000000000000000000000000000,874.2632353305817,11781.734717469573,,
boutique,50,84,28,3,372529029846191406250000000000000000000000000000,857.7946789264679,11909.863708761763,,
boutique,50,84,28,4,372529029846191406250000000000000000000000000000,448.7733292579651,12162.947392158023,,
mid_size,150,56,14,0,2919292602539062500000000000000,615.2049598693848,10605.24912194929,,
mid_size,150,56,14,1,2919292602539062500000000000000,594.4032328128815,10519.955051580515,,
mid_size,150,56,14,2,2919292602539062500000000000000,584.68474817276,10319.530408893019,,
mid_size,150,56,14,3,2919292602539062500000000000000,300.1216416358948,10731.263871981642,,
mid_size,150,56,14,4,2919292602539062500000000000000,294.2376980781555,10827.655259010508,,
mid_size,150,56,28,0,8522269299239292740821838378906250000000000000000000000000000,413.70018887519836,11577.161475421859,,
mid_size,150,56,28,1,8522269299239292740821838378906250000000000000000000000000000,426.2942395210266,11722.781297136416,,
mid_size,150,56,28,2,8522269299239292740821838378906250000000000000000000000000000,413.4630239009857,11646.143094155084,,
mid_size,150,56,28,3,8522269299239292740821838378906250000000000000000000000000000,426.10734844207764,11810.20394710981,,
mid_size,150,56,28,4,8522269299239292740821838378906250000000000000000000000000000,420.12340211868286,11750.977486005004,,
mid_size,150,56,84,0,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,764.889030456543,12024.042763148671,,
mid_size,150,56,84,1,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,779.1304137706757,12082.84492944861,,
mid_size,150,56,84,2,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1491.3019812107086,12051.69143210156,,
mid_size,150,56,84,3,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1495.2300684452057,12153.807839252679,,
mid_size,150,56,84,4,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1536.4746448993683,12060.739626281074,,
mid_size,150,84,14,0,2919292602539062500000000000000,629.8170738220215,10618.556471535505,,
mid_size,150,84,14,1,2919292602539062500000000000000,307.5491940975189,10734.453055254966,,
mid_size,150,84,14,2,2919292602539062500000000000000,311.7615146636963,10857.85676044166,,
mid_size,150,84,14,3,2919292602539062500000000000000,609.3282122612,10707.12794227794,,
mid_size,150,84,14,4,2919292602539062500000000000000,617.916752576828,10900.56326787668,,
mid_size,150,84,28,0,8522269299239292740821838378906250000000000000000000000000000,872.6985185146332,12108.130040772565,,
mid_size,150,84,28,1,8522269299239292740821838378906250000000000000000000000000000,873.2246940135956,12101.649118905165,,
mid_size,150,84,28,2,8522269299239292740821838378906250000000000000000000000000000,871.0257771015167,11976.396587260297,,
mid_size,150,84,28,3,8522269299239292740821838378906250000000000000000000000000000,861.2514898777008,11846.673320759575,,
mid_size,150,84,28,4,8522269299239292740821838378906250000000000000000000000000000,868.2375373840332,11841.247477501229,,
mid_size,150,84,84,0,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,817.8389089107513,12114.81922640604,,
mid_size,150,84,84,1,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,823.8719046115875,12169.155432926651,,
mid_size,150,84,84,2,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1535.8337614536285,12242.986264338873,,
mid_size,150,84,84,3,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,831.6783056259155,12337.060340705833,,
mid_size,150,84,84,4,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1551.244796037674,12336.330700198347,,
mid_size,150,168,14,0,2919292602539062500000000000000,341.28584837913513,10781.910887248654,,
mid_size,150,168,14,1,2919292602539062500000000000000,343.7354073524475,10809.751196456082,,
mid_size,150,168,14,2,2919292602539062500000000000000,336.3349895477295,10719.518363541614,,
mid_size,150,168,14,3,2919292602539062500000000000000,329.079439163208,10705.728839165127,,
mid_size,150,168,14,4,2919292602539062500000000000000,644.9275507926941,10828.786205416192,,
mid_size,150,168,28,0,8522269299239292740821838378906250000000000000000000000000000,965.4321081638336,12026.850025587506,,
mid_size,150,168,28,1,8522269299239292740821838378906250000000000000000000000000000,940.0743682384491,11762.256766040553,,
mid_size,150,168,28,2,8522269299239292740821838378906250000000000000000000000000000,928.22265458107,11890.650934987027,,
mid_size,150,168,28,3,8522269299239292740821838378906250000000000000000000000000000,937.3209912776947,11993.197492569938,,
mid_size,150,168,28,4,8522269299239292740821838378906250000000000000000000000000000,945.4386613368988,11961.750907288397,,
mid_size,150,168,84,0,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1532.5652210712433,12354.241942772805,,
mid_size,150,168,84,1,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1026.2373328208923,12150.906136640173,,
mid_size,150,168,84,2,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,933.6281781196594,12468.181396362868,,
mid_size,150,168,84,3,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1430.4177460670471,12395.967126587338,,
mid_size,150,168,84,4,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1422.0042786598206,12398.512724389107,,
large,300,84,28,0,2287679245496100000000000000000000000000000000000000000000000000000000,870.5563559532166,12168.498735624591,,
large,300,84,28,1,2287679245496100000000000000000000000000000000000000000000000000000000,888.9453625679016,12198.244871634995,,
large,300,84,28,2,2287679245496100000000000000000000000000000000000000000000000000000000,435.03213906288147,11946.765721555601,,
large,300,84,28,3,2287679245496100000000000000000000000000000000000000000000000000000000,448.19329833984375,11863.360319850657,,
large,300,84,28,4,2287679245496100000000000000000000000000000000000000000000000000000000,870.7464146614075,11935.692761374663,,
large,300,84,84,0,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,828.7802047729492,12156.081582472076,,
large,300,84,84,1,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1403.5029995441437,12050.884841149562,,
large,300,84,84,2,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1323.594176530838,12156.451470065596,,
large,300,84,84,3,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,841.7692065238953,12353.467219832173,,
large,300,84,84,4,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,844.0325334072113,12124.817012087182,,
large,300,168,28,0,2287679245496100000000000000000000000000000000000000000000000000000000,493.5035538673401,11904.3822772517,,
large,300,168,28,1,2287679245496100000000000000000000000000000000000000000000000000000000,492.06172275543213,12003.672444685737,,
large,300,168,28,2,2287679245496100000000000000000000000000000000000000000000000000000000,495.536657333374,11855.804066880277,,
large,300,168,28,3,2287679245496100000000000000000000000000000000000000000000000000000000,480.5224783420563,11929.781239779228,,
large,300,168,28,4,2287679245496100000000000000000000000000000000000000000000000000000000,931.8127040863037,11860.315578371365,,
large,300,168,84,0,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1384.671766757965,12237.359455490498,,
large,300,168,84,1,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1296.1293787956238,12270.60702944228,,
large,300,168,84,2,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1400.9775156974792,12493.885078116567,,
large,300,168,84,3,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1406.1894872188568,12384.262965819851,,
large,300,168,84,4,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1321.4769237041473,12412.597681627882,,
large,300,336,28,0,2287679245496100000000000000000000000000000000000000000000000000000000,840.6424052715302,12035.112965326069,,
large,300,336,28,1,2287679245496100000000000000000000000000000000000000000000000000000000,877.9459328651428,12079.034317513087,,
large,300,336,28,2,2287679245496100000000000000000000000000000000000000000000000000000000,565.9807379245758,11975.311409862185,,
large,300,336,28,3,2287679245496100000000000000000000000000000000000000000000000000000000,568.3990864753723,12122.84313274921,,
large,300,336,28,4,2287679245496100000000000000000000000000000000000000000000000000000000,578.4777085781097,12270.01949086874,,
large,300,336,84,0,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1147.321771621704,12314.664551366604,,
large,300,336,84,1,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1310.4158816337585,12317.932715313918,,
large,300,336,84,2,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1106.9004089832306,12238.483960167281,,
large,300,336,84,3,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1345.9587025642395,12419.518011029699,,
large,300,336,84,4,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1157.1401500701904,12340.774927323433,,
resort_chain,600,168,28,0,614094221446481549721600000000000000000000000000000000000000000000000000000000,663.184638261795,11833.42723500042,,
resort_chain,600,168,28,1,614094221446481549721600000000000000000000000000000000000000000000000000000000,665.3558080196381,11979.30743859901,,
resort_chain,600,168,28,2,614094221446481549721600000000000000000000000000000000000000000000000000000000,815.5295712947845,12048.174759607853,,
resort_chain,600,168,28,3,614094221446481549721600000000000000000000000000000000000000000000000000000000,673.1645586490631,11794.985295420523,,
resort_chain,600,168,28,4,614094221446481549721600000000000000000000000000000000000000000000000000000000,484.6982932090759,11766.606524158491,,
resort_chain,600,168,84,0,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,935.9429080486298,12374.40772524836,,
resort_chain,600,168,84,1,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,936.5654211044312,12381.14565048834,,
resort_chain,600,168,84,2,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,921.9049792289734,12555.793246667214,,
resort_chain,600,168,84,3,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,932.6762228012085,12476.67344705311,,
resort_chain,600,168,84,4,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,885.2823429107666,12500.681405486377,,
resort_chain,600,336,28,0,614094221446481549721600000000000000000000000000000000000000000000000000000000,635.6501429080963,12169.382819975575,,
resort_chain,600,336,28,1,614094221446481549721600000000000000000000000000000000000000000000000000000000,572.9457385540009,12196.234499071059,,
resort_chain,600,336,28,2,614094221446481549721600000000000000000000000000000000000000000000000000000000,659.2762155532837,11745.592024304917,,
resort_chain,600,336,28,3,614094221446481549721600000000000000000000000000000000000000000000000000000000,714.7995710372925,11994.166835100184,,
resort_chain,600,336,28,4,614094221446481549721600000000000000000000000000000000000000000000000000000000,687.2004597187042,12032.37791042714,,
resort_chain,600,336,84,0,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1165.4111738204956,12336.651235611935,,
resort_chain,600,336,84,1,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1072.131269454956,12303.46449326873,,
resort_chain,600,336,84,2,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1109.2394564151764,12224.093361457462,,
resort_chain,600,336,84,3,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1131.0340645313263,12434.863034719298,,
resort_chain,600,336,84,4,231582123678838102672736490567111386503858361810075859110326173696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1036.9846980571747,12452.25315546279,,
